request_id,department,channel,region,service_area,customer_type,previous_requests_90d,requester_tenure_months,request_text_length,sentiment_score,updates_first_24h,attachments_count,opened_hour,opened_weekday,sla_breach,priority_level,resolution_hours_after_close,closed_status_after_close,escalation_outcome_after_close
SR-00257,Customer Support,Portal,Northern Ireland,Access,Enterprise Client,3,61,244,-0.38,0,1,19,Tue,0,Standard,17.9,Closed within SLA,No escalation
SR-00539,Operations,Chat,England,Billing,Enterprise Client,4,79,267,0.339,1,0,15,Tue,0,Low,15.5,Closed within SLA,No escalation
SR-00260,IT,Phone,England,Policy,Internal,2,45,207,0.252,2,0,7,Thu,0,Urgent,20.0,Closed within SLA,Team review
SR-00486,HR,Portal,England,Access,Public Sector,3,76,193,-0.593,1,0,15,Mon,1,Low,63.3,Closed after SLA,No escalation
SR-00454,Operations,Portal,England,Access,SME Client,1,25,188,0.01,4,0,16,Thu,0,Standard,15.6,Closed within SLA,Team review
SR-00842,Customer Support,Portal,Scotland,Onboarding,Internal,1,45,264,0.136,2,0,19,Thu,0,Low,20.3,Closed within SLA,No escalation
SR-00863,Customer Support,Portal,England,Policy,Internal,4,44,254,0.924,1,2,9,Tue,0,Standard,8.8,Closed within SLA,Team review
SR-00892,Legal,Portal,England,Billing,Public Sector,5,8,182,0.188,0,0,7,Mon,1,Urgent,56.0,Closed after SLA,Escalated after breach
SR-00061,IT,Email,England,Technical,Internal,2,69,170,0.103,2,0,13,Mon,0,Low,28.4,Closed within SLA,No escalation
SR-00064,Customer Support,Portal,England,Billing,Enterprise Client,4,12,72,0.185,1,0,12,Mon,1,Low,60.5,Closed after SLA,Team review
SR-00099,Operations,Chat,England,Technical,Internal,1,55,197,0.38,3,0,7,Wed,0,Urgent,34.2,Closed within SLA,No escalation
SR-00862,Customer Support,Portal,England,Onboarding,SME Client,0,10,320,-0.286,0,0,13,Thu,1,Low,43.4,Closed after SLA,No escalation
SR-00468,Legal,Portal,England,Access,Enterprise Client,2,75,188,-0.869,1,2,8,Fri,0,Low,31.4,Closed within SLA,No escalation
SR-00400,HR,Portal,England,Access,Internal,4,20,175,-0.252,4,2,14,Thu,1,Standard,59.5,Closed after SLA,No escalation
SR-00373,Finance,Portal,England,Technical,SME Client,1,26,26,0.89,0,0,13,Fri,0,Urgent,25.2,Closed within SLA,Manager note
SR-00109,Operations,Phone,Scotland,Access,SME Client,4,46,137,0.062,2,0,15,Tue,1,Standard,69.4,Closed after SLA,No escalation
SR-00514,Finance,Chat,England,Technical,SME Client,2,14,168,-0.565,1,0,9,Mon,0,Urgent,26.5,Closed within SLA,No escalation
SR-00205,Operations,Portal,England,Billing,Internal,0,26,168,-0.039,0,1,7,Tue,0,Standard,1.0,Closed within SLA,No escalation
SR-00458,HR,Email,Scotland,Access,Public Sector,1,57,205,1.0,1,1,17,Wed,0,Standard,5.4,Closed within SLA,No escalation
SR-00888,Operations,Phone,England,Onboarding,Internal,1,58,65,0.269,2,2,18,Tue,1,Standard,65.2,Closed after SLA,Team review
SR-00575,Customer Support,Email,England,Technical,Enterprise Client,0,32,99,0.286,2,1,18,Tue,0,Standard,7.9,Closed within SLA,Team review
SR-00154,IT,Portal,Northern Ireland,Billing,Enterprise Client,1,27,219,1.0,0,0,13,Fri,0,Standard,9.1,Closed within SLA,No escalation
SR-00682,Operations,Portal,England,Policy,SME Client,3,65,226,0.558,1,0,9,Wed,1,Low,46.8,Closed after SLA,No escalation
SR-00594,IT,Phone,England,Onboarding,Enterprise Client,1,9,67,-0.099,1,0,19,Thu,0,Urgent,28.5,Closed within SLA,Team review
SR-00169,Finance,Portal,England,Data Request,Enterprise Client,6,68,216,-0.571,1,1,7,Wed,1,Low,48.9,Closed after SLA,No escalation
SR-00446,IT,Email,England,Technical,Internal,1,10,194,-0.131,0,1,14,Tue,0,Urgent,25.2,Closed within SLA,No escalation
SR-00899,Operations,Email,England,Data Request,Public Sector,0,73,171,0.195,1,0,18,Tue,1,Standard,53.1,Closed after SLA,No escalation
SR-00653,IT,Portal,England,Access,Internal,3,35,97,0.336,1,1,8,Thu,1,Low,60.8,Closed after SLA,Team review
SR-00504,HR,Portal,England,Technical,Internal,0,3,461,-1.0,0,0,16,Wed,1,Urgent,48.8,Closed after SLA,Escalated after breach
SR-00552,Operations,Email,Wales,Onboarding,SME Client,1,82,285,-0.26,1,0,13,Wed,0,Low,15.4,Closed within SLA,Team review
SR-00295,Customer Support,Chat,Wales,Onboarding,Public Sector,2,68,184,0.137,1,0,15,Tue,0,Urgent,38.0,Closed within SLA,No escalation
SR-00479,IT,Email,Wales,Access,Internal,0,82,209,-0.134,1,0,17,Tue,0,Low,2.4,Closed within SLA,Team review
SR-00490,IT,Portal,England,Billing,Internal,0,54,278,0.164,1,0,7,Wed,0,Low,55.9,Closed within SLA,Team review
SR-00579,Customer Support,Email,England,Billing,Enterprise Client,0,73,177,0.548,4,1,18,Tue,0,Low,17.9,Closed within SLA,No escalation
SR-00418,Customer Support,Portal,Wales,Technical,SME Client,2,28,49,0.154,1,0,13,Tue,0,Standard,37.8,Closed within SLA,No escalation
SR-00262,Customer Support,Email,England,Data Request,Internal,3,61,221,-1.0,0,1,13,Tue,0,Standard,20.3,Closed within SLA,No escalation
SR-00526,Finance,Portal,Northern Ireland,Technical,Internal,1,52,121,0.41,1,0,13,Tue,0,Low,36.1,Closed within SLA,No escalation
SR-00135,IT,Email,England,Technical,Internal,3,19,218,-0.053,1,0,7,Mon,1,Urgent,73.5,Closed after SLA,Escalated after breach
SR-00473,Operations,Email,Scotland,Technical,SME Client,4,11,151,-0.064,1,0,7,Wed,1,Standard,80.3,Closed after SLA,No escalation
SR-00879,IT,Portal,Scotland,Technical,Enterprise Client,3,25,124,0.468,2,1,19,Thu,0,Standard,22.3,Closed within SLA,No escalation
SR-00111,HR,Email,England,Access,Public Sector,0,52,145,0.132,1,0,9,Wed,0,Low,18.1,Closed within SLA,No escalation
SR-00509,HR,Chat,England,Access,Public Sector,0,12,165,-0.853,1,1,9,Thu,0,Low,33.5,Closed within SLA,No escalation
SR-00775,Operations,Phone,England,Onboarding,SME Client,1,22,241,0.829,1,1,11,Mon,0,Low,20.8,Closed within SLA,No escalation
SR-00245,IT,Email,Northern Ireland,Billing,Public Sector,2,50,199,0.205,0,0,13,Fri,1,Urgent,72.3,Closed after SLA,Escalated after breach
SR-00483,IT,Email,England,Onboarding,Enterprise Client,0,55,294,0.227,2,1,11,Mon,0,Low,40.3,Closed within SLA,No escalation
SR-00100,Legal,Portal,England,Technical,SME Client,4,13,215,-0.343,0,0,8,Fri,0,Low,17.7,Closed within SLA,No escalation
SR-00456,Operations,Portal,England,Billing,Enterprise Client,3,19,35,0.925,0,0,16,Thu,1,Standard,70.1,Closed after SLA,Team review
SR-00615,Finance,Chat,England,Billing,SME Client,4,52,214,-0.368,3,0,13,Mon,0,Low,25.1,Closed within SLA,No escalation
SR-00512,Customer Support,Chat,England,Technical,Enterprise Client,1,71,304,0.106,0,0,12,Mon,0,Urgent,20.9,Closed within SLA,No escalation
