model,metric,cv_mean,cv_std,train_mean,train_minus_cv
Logistic Regression,accuracy,0.5615,0.0361,0.6281,0.0667
Logistic Regression,precision,0.49,0.0399,0.5581,0.0681
Logistic Regression,recall,0.5464,0.0756,0.6323,0.0859
Logistic Regression,f1,0.5146,0.0467,0.5929,0.0783
Logistic Regression,roc_auc,0.588,0.0302,0.6781,0.0901
Random Forest,accuracy,0.6148,0.0261,0.9885,0.3737
Random Forest,precision,0.5692,0.041,0.993,0.4239
Random Forest,recall,0.408,0.0691,0.9801,0.5721
Random Forest,f1,0.473,0.0547,0.9865,0.5135
Random Forest,roc_auc,0.6016,0.0415,0.9997,0.3981
